household_size;Ncitycentre;Nmore50;Nless50;Ccitycentre;Cmore50;Cless50;Scitycentre;Smore50;Sless50;familysize;minor_bin
1componente18-59;852.83;812.86;766.7;811.08;770.33;723.27;634.14;613.15;576.63;1;0
1comp.60-74;820.78;780.81;734.65;783.91;743.16;696.1;607.03;586.04;549.52;1;0
1comp.75+;778.03;738.06;691.9;745.53;704.78;657.72;568.63;547.64;511.12;1;0
2comp.18-59;1180.14;1131.91;1077.21;1111.05;1061.88;1006.12;909.41;884.88;842.67;2;0
2comp.60-74;1116.99;1068.76;1014.06;1057.17;1008,00;952.24;855.66;831.13;788.92;2;0
2comp.75+;1041.49;993.26;938.56;989.32;940.15;884.39;787.73;763.2;720.99;2;0
1comp.60-74_1comp.75+;1078.96;1030.73;976.03;1023,00;973.83;918.07;821.44;796.91;754.7;2;0
1comp.18-59_1comp.75+;1108.94;1060.71;1006.01;1048.52;999.35;943.59;846.89;822.36;780.15;2;0
1comp.18-59_1comp.60-74;1147.9;1099.67;1044.97;1083.52;1034.35;978.59;881.94;857.41;815.2;2;0
1comp.11-17_1comp.18-59;1195.31;1147.08;1092.38;1124.54;1075.37;1019.61;923.34;898.81;856.6;2;1
1comp.4-10_1comp.18-59;1136.09;1087.86;1033.16;1073.23;1024.06;968.3;871.91;847.38;805.17;2;1
1comp.18-59_2comp.75+;1333.18;1277.52;1215.29;1256.51;1199.77;1136.32;1033.08;1005.5;958.47;2;0
1comp.18-59_1comp.60-74_1comp.75+;1369.62;1313.96;1251.73;1289.27;1232.53;1169.08;1065.9;1038.32;991.29;3;0
1comp.18-59_2comp.60-74;1406.63;1350.97;1288.74;1322.54;1265.8;1202.35;1099.24;1071.66;1024.63;3;0
2comp.18-59_1comp.75+;1401.46;1345.8;1283.57;1316.56;1259.82;1196.37;1093.12;1065.54;1018.51;3;0
2comp.18-59_1comp.60-74;1439.42;1383.76;1321.53;1350.7;1293.96;1230.51;1127.33;1099.75;1052.72;3;0
3comp.18-59;1473.68;1418.02;1355.79;1380.12;1323.38;1259.93;1156.71;1129.13;1082.1;3;0
1comp.11-17_2comp.18-59;1487.5;1431.84;1369.61;1392.39;1335.65;1272.2;1169.36;1141.78;1094.75;3;1
1comp.4-10_2comp.18-59;1434.87;1379.21;1316.98;1346.83;1290.09;1226.64;1123.67;1096.09;1049.06;3;1
1comp.0-3_2comp.18-59;1330.74;1275.08;1212.85;1252.17;1195.43;1131.98;1028.28;1000.7;953.67;3;1
2comp.18-59_2comp.60-74;1703.05;1634.24;1558.93;1597.19;1527.04;1450.26;1335.93;1303.23;1248.3;4;0
3comp.18-59_1comp.60-74;1738.36;1669.55;1594.24;1627.65;1557.5;1480.72;1366.35;1333.65;1278.72;4;0
4comp.18-59;1775.27;1706.46;1631.15;1659.51;1589.36;1512.58;1398.18;1365.48;1310.55;4;0
1comp.11-17_3comp.18-59;1788.26;1719.45;1644.14;1671.04;1600.89;1524.11;1410.06;1377.36;1322.43;4;1
2comp.11-17_2comp.18-59;1801.29;1732.48;1657.17;1682.59;1612.44;1535.66;1421.95;1389.25;1334.32;4;1
1comp.4-10_1comp.11-17_2comp.18-59;1753.21;1684.4;1609.09;1640.99;1570.84;1494.06;1380.26;1347.56;1292.63;4;1
2comp.4-10_2comp.18-59;1704.68;1635.87;1560.56;1599.01;1528.86;1452.08;1338.18;1305.48;1250.55;4;1
1comp.0-3_1comp.4-10_2comp.18-59;1602.88;1534.07;1458.76;1506.45;1436.3;1359.52;1244.83;1212.13;1157.2;4;1
1comp.4-10_3comp.18-59;1740.14;1671.33;1596.02;1629.4;1559.25;1482.47;1368.32;1335.62;1280.69;4;1
2comp.0-3_2comp.18-59;1503.53;1434.72;1359.41;1416.09;1345.94;1269.16;1153.74;1121.04;1066.11;4;1
3comp.18-59_1comp.75+;1700.39;1631.58;1556.27;1593.51;1523.36;1446.58;1332.1;1299.4;1244.47;4;0
1comp.0-3_1comp.11-17_2comp.18-59;1651.31;1582.5;1507.19;1548.35;1478.2;1401.42;1286.86;1254.16;1199.23;4;1
5comp.18-59;2047.91;1968.67;1883.19;1910.71;1829.92;1742.78;1619.89;1583.36;1522.64;5;0
1comp.11-17_4comp.18-59;2060.39;1981.15;1895.67;1921.76;1840.97;1753.83;1631.26;1594.73;1534.01;5;1
1comp.4-10_2comp.11-17_2comp.18-59;2040.77;1961.53;1876.05;1905.35;1824.56;1737.42;1615.42;1578.89;1518.17;5;1
2comp.11-17_3comp.18-59;2072.87;1993.63;1908.15;1932.82;1852.03;1764.89;1642.65;1606.12;1545.4;5;1
1comp.4-10_1comp.11-17_3comp.18-59;2028.23;1948.99;1863.51;1894.22;1813.43;1726.29;1603.98;1567.45;1506.73;5;1
2comp.4-10_1comp.11-17_2comp.18-59;1995.78;1916.54;1831.06;1866.46;1785.67;1698.53;1576.44;1539.91;1479.19;5;1
