Anno,Area,Numero componenti nucleo,f_mino,NUM_COMP
2019,Nord ovest,1 componente,0,88109.0
2019,Nord ovest,2 componenti,0,51376.0
2019,Nord ovest,2 componenti,1,17486.0
2019,Nord ovest,3 componenti,0,22983.0
2019,Nord ovest,3 componenti,1,46323.0
2019,Nord ovest,4 componenti,0,9720.0
2019,Nord ovest,4 componenti,1,60820.0
2019,Nord ovest,5 componenti,0,2190.0
2019,Nord ovest,5 componenti,1,52205.0
2019,Nord ovest,6 o piu' componenti,0,1060.0
2019,Nord ovest,6 o piu' componenti,1,43928.0
2019,Nord est,1 componente,0,45218.0
2019,Nord est,2 componenti,0,23346.0
2019,Nord est,2 componenti,1,8216.0
2019,Nord est,3 componenti,0,10215.0
2019,Nord est,3 componenti,1,20955.0
2019,Nord est,4 componenti,0,4332.0
2019,Nord est,4 componenti,1,29812.0
2019,Nord est,5 componenti,0,1170.0
2019,Nord est,5 componenti,1,27825.0
2019,Nord est,6 o piu' componenti,0,537.0
2019,Nord est,6 o piu' componenti,1,24081.0
2019,Centro,1 componente,0,75899.0
2019,Centro,2 componenti,0,50348.0
2019,Centro,2 componenti,1,17510.0
2019,Centro,3 componenti,0,27438.0
2019,Centro,3 componenti,1,48798.0
2019,Centro,4 componenti,0,12720.0
2019,Centro,4 componenti,1,62072.0
2019,Centro,5 componenti,0,2760.0
2019,Centro,5 componenti,1,41330.0
2019,Centro,6 o piu' componenti,0,1287.0
2019,Centro,6 o piu' componenti,1,32029.0
2019,Sud,1 componente,0,132131.0
2019,Sud,2 componenti,0,138818.0
2019,Sud,2 componenti,1,34206.0
2019,Sud,3 componenti,0,105987.0
2019,Sud,3 componenti,1,146301.0
2019,Sud,4 componenti,0,66632.0
2019,Sud,4 componenti,1,237272.0
2019,Sud,5 componenti,0,16175.0
2019,Sud,5 componenti,1,152995.0
2019,Sud,6 o piu' componenti,0,5071.0
2019,Sud,6 o piu' componenti,1,102719.0
2019,Isole,1 componente,0,83395.0
2019,Isole,2 componenti,0,78186.0
2019,Isole,2 componenti,1,21006.0
2019,Isole,3 componenti,0,53397.0
2019,Isole,3 componenti,1,81339.0
2019,Isole,4 componenti,0,27996.0
2019,Isole,4 componenti,1,119812.0
2019,Isole,5 componenti,0,6030.0
2019,Isole,5 componenti,1,73465.0
2019,Isole,6 o piu' componenti,0,1922.0
2019,Isole,6 o piu' componenti,1,49102.0
2020,Nord ovest,1 componente,0,98530.0
2020,Nord ovest,2 componenti,0,54268.0
2020,Nord ovest,2 componenti,1,19704.0
2020,Nord ovest,3 componenti,0,23742.0
2020,Nord ovest,3 componenti,1,50610.0
2020,Nord ovest,4 componenti,0,10064.0
2020,Nord ovest,4 componenti,1,64720.0
2020,Nord ovest,5 componenti,0,2215.0
2020,Nord ovest,5 componenti,1,53280.0
2020,Nord ovest,6 o piu' componenti,0,1272.0
2020,Nord ovest,6 o piu' componenti,1,43456.0
2020,Nord est,1 componente,0,48421.0
2020,Nord est,2 componenti,0,24020.0
2020,Nord est,2 componenti,1,8822.0
2020,Nord est,3 componenti,0,10167.0
2020,Nord est,3 componenti,1,21771.0
2020,Nord est,4 componenti,0,4392.0
2020,Nord est,4 componenti,1,29996.0
2020,Nord est,5 componenti,0,1095.0
2020,Nord est,5 componenti,1,26460.0
2020,Nord est,6 o piu' componenti,0,536.0
2020,Nord est,6 o piu' componenti,1,22902.0
2020,Centro,1 componente,0,85294.0
2020,Centro,2 componenti,0,54348.0
2020,Centro,2 componenti,1,19984.0
2020,Centro,3 componenti,0,29184.0
2020,Centro,3 componenti,1,54150.0
2020,Centro,4 componenti,0,13308.0
2020,Centro,4 componenti,1,67336.0
2020,Centro,5 componenti,0,2800.0
2020,Centro,5 componenti,1,42960.0
2020,Centro,6 o piu' componenti,0,1441.0
2020,Centro,6 o piu' componenti,1,33377.0
2020,Sud,1 componente,0,154461.0
2020,Sud,2 componenti,0,157726.0
2020,Sud,2 componenti,1,40772.0
2020,Sud,3 componenti,0,118062.0
2020,Sud,3 componenti,1,171924.0
2020,Sud,4 componenti,0,73172.0
2020,Sud,4 componenti,1,269276.0
2020,Sud,5 componenti,0,17500.0
2020,Sud,5 componenti,1,168430.0
2020,Sud,6 o piu' componenti,0,5928.0
2020,Sud,6 o piu' componenti,1,111390.0
2020,Isole,1 componente,0,96578.0
2020,Isole,2 componenti,0,89262.0
2020,Isole,2 componenti,1,25088.0
2020,Isole,3 componenti,0,59604.0
2020,Isole,3 componenti,1,96243.0
2020,Isole,4 componenti,0,31112.0
2020,Isole,4 componenti,1,138156.0
2020,Isole,5 componenti,0,6465.0
2020,Isole,5 componenti,1,81630.0
2020,Isole,6 o piu' componenti,0,2226.0
2020,Isole,6 o piu' componenti,1,54715.0
