Area;TIME;nuclei;individui;avg;nuclei_rdc;individui_rdc;avg_rdc;nuclei_pdc;individui_pdc;acg_pdc;rdc_prc;pdc_prc
Italia;2019;1107603;2710035;492,17;975140;2559379;530,02;132463;150656;221,28;88;12
Nord;2019;271456;593895;422,04;228599;546830;464,94;42857;47065;201,22;84;16
Centro;2019;167990;373115;454,04;144277;346395;493,84;23713;26720;221,36;86;14
Sud e Isole;2019;668157;1743025;529,38;602264;1666154;562,52;65893;76871;234;90;10
Italia;2020;1577371;3701135;530,75;1421113;3523524;566,57;156258;177611;251,9;90;10
Nord;2020;388019;816180;457,3;338126;761414;498,74;49893;54766;233,5;87;13
Centro;2020;245855;528837;489,41;218463;498081;525,71;27392;30756;253,01;89;11
Sud e Isole;2020;943497;2356118;567,67;864524;2264029;599,17;78973;92089;262,81;92;8
Italia;2021;1772009;3957247;546,18;1602594;3765367;577,6;169415;191880;277,35;90;10
Nord;2021;423765;854446;473,8;371176;796946;510,31;52589;57500;259,46;88;12
Centro;2021;287912;587617;507,38;258108;554371;536,8;29804;33246;283,71;90;10
Sud e Isole;2021;1060332;2515184;581,62;973310;2414050;609,88;87022;101134;285,79;92;8
Italia;2022;1690847;3672023;550,93;1533114;3492667;581,76;157733;179356;287,96;91;9
Nord;2022;373859;731200;480,16;323854;676512;521,05;50005;54688;266,66;87;13
Centro;2022;273348;536827;512,14;245068;505320;541,68;28280;31507;297,69;90;10
Sud e Isole;2022;1043640;2403996;583,16;964192;2310835;608,99;79448;93161;297,87;92;8
Italia;2023;1324104;2805447;565,71;1185186;2648181;598,64;138918;157266;300,77;90;10
Nord;2023;271230;493973;490,51;227378;446235;535,73;43852;47738;281,6;84;16
Centro;2023;201303;377531;523,76;176651;350253;556,59;24652;27278;311,6;88;12
Sud e Isole;2023;851571;1933943;597,15;781157;1851693;624,11;70414;82250;308,8;92;8
